2015-10-12__12_10_40|17|allPlayers11_125__DS11|2|4|1309|1052|2|4|(0, 0), (5, 0), (9, 0), (1, 0), (3, 0), (7, 0), (10, 0), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (6, 1), (6, 0), (2, 0), (4, 0)|(0, 0), (1, 0), (3, 0), (2, 0), (4, 0)|(0, 0), (0, 3), (0, 1), (2, 1), (1, 0), (2, 3), (3, 0), (0, 2), (1, 3), (3, 3), (2, 0)|(0, 0), (0, 5), (1, 6), (0, 3), (0, 1), (0, 4), (0, 6), (0, 2)|(0, 0), (0, 1), (2, 1), (1, 1), (2, 0)
2015-10-12__12_10_40|1547|allPlayers11_125__DS12|2|5|1334|973|2|5|(0, 0), (5, 0), (9, 0), (1, 0), (3, 0), (7, 0), (10, 0), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (7, 0), (6, 0), (2, 0), (4, 0)|(0, 0), (1, 0), (3, 0), (2, 0), (4, 0)|(0, 0), (3, 4), (4, 5), (0, 1), (1, 2), (2, 3), (5, 5), (3, 3), (4, 4), (2, 2), (1, 1)|(0, 0), (0, 1), (2, 1), (1, 2), (1, 0), (3, 0), (1, 1), (2, 0)|(0, 0), (0, 1), (1, 0), (1, 1), (2, 0)
2015-10-12__12_10_40|19|allPlayers11_125__DS15|2|8|1096|960|2|8|(0, 0), (5, 0), (9, 0), (1, 0), (3, 0), (7, 0), (10, 0), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (6, 1), (6, 0), (2, 0), (4, 0)|(0, 0), (1, 0), (3, 0), (3, 1), (2, 0)|(0, 0), (1, 4), (0, 3), (1, 2), (2, 1), (1, 0), (2, 3), (0, 4), (1, 3), (2, 2), (1, 1)|(0, 0), (0, 5), (1, 6), (0, 3), (0, 1), (0, 4), (0, 6), (0, 2)|(0, 0), (0, 1), (1, 2), (1, 0), (0, 2)
2015-10-12__12_10_40|349|allPlayers11_125__DS19|3|4|1072|1247|4|3|(0, 0), (5, 0), (9, 0), (1, 0), (3, 0), (7, 0), (10, 0), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (6, 1), (6, 0), (2, 0), (4, 0)|(0, 0), (1, 0), (3, 0), (2, 0), (4, 0)|(0, 0), (0, 3), (0, 1), (2, 1), (1, 0), (2, 3), (3, 0), (0, 2), (1, 3), (3, 3), (2, 0)|(0, 0), (0, 5), (1, 6), (0, 3), (0, 1), (0, 4), (0, 6), (0, 2)|(0, 0), (0, 1), (2, 1), (1, 1), (2, 0)
2015-10-12__12_10_40|486|allPlayers11_125__DS21|3|6|994|965|3|6|(0, 0), (5, 0), (9, 0), (1, 0), (3, 0), (7, 0), (9, 1), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (7, 0), (6, 0), (2, 0), (4, 0)|(0, 0), (0, 1), (1, 0), (3, 0), (2, 0)|(0, 0), (0, 5), (5, 0), (0, 3), (0, 1), (1, 0), (3, 0), (0, 4), (0, 2), (2, 0), (4, 0)|(0, 0), (0, 3), (0, 1), (1, 2), (2, 1), (1, 0), (0, 2), (1, 1)|(0, 0), (0, 3), (0, 1), (1, 0), (0, 2)
2015-10-12__12_10_40|137|allPlayers11_125__DS22|3|7|1006|1017|7|3|(0, 0), (5, 0), (9, 0), (0, 1), (1, 0), (3, 0), (7, 0), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (0, 1), (1, 0), (3, 0), (6, 0), (2, 0), (4, 0)|(0, 0), (1, 0), (3, 0), (2, 0), (1, 1)|(0, 0), (5, 0), (9, 0), (1, 0), (3, 0), (7, 0), (9, 1), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (6, 1), (6, 0), (2, 0), (4, 0)|(0, 0), (2, 1), (1, 0), (3, 0), (2, 0)
2015-10-12__12_10_40|920|allPlayers11_125__DS23|3|8|1097|967|3|8|(0, 0), (5, 0), (9, 0), (1, 0), (3, 0), (7, 0), (10, 0), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (6, 1), (6, 0), (2, 0), (4, 0)|(0, 0), (1, 0), (3, 0), (3, 1), (2, 0)|(0, 0), (1, 4), (0, 3), (1, 2), (2, 1), (1, 0), (2, 3), (0, 4), (1, 3), (2, 2), (1, 1)|(0, 0), (0, 5), (1, 6), (0, 3), (0, 1), (0, 4), (0, 6), (0, 2)|(0, 0), (0, 1), (1, 2), (1, 0), (0, 2)
2015-10-12__12_10_40|8|allPlayers11_125__DS25|4|1|1330|955|4|1|(0, 0), (0, 3), (0, 1), (1, 0), (2, 3), (3, 0), (0, 2), (1, 3), (3, 3), (1, 1), (2, 0)|(0, 0), (0, 5), (0, 3), (0, 1), (1, 0), (0, 4), (0, 6), (0, 2)|(0, 1), (2, 1), (1, 0), (1, 1), (2, 0)|(0, 0), (0, 5), (0, 10), (0, 7), (0, 8), (0, 3), (0, 1), (0, 4), (0, 6), (0, 9), (0, 2)|(0, 0), (0, 5), (0, 3), (0, 1), (0, 4), (0, 6), (0, 2), (1, 3)|(0, 0), (0, 3), (0, 1), (0, 4), (0, 2)
2015-10-12__12_10_40|16|allPlayers11_125__DS26|4|2|1038|1417|2|4|(0, 0), (0, 3), (0, 1), (1, 0), (2, 3), (3, 0), (0, 2), (1, 3), (3, 3), (3, 1), (2, 0)|(0, 0), (0, 5), (1, 6), (0, 3), (0, 1), (0, 4), (0, 6), (0, 2)|(0, 0), (0, 1), (2, 1), (1, 0), (1, 1)|(0, 0), (5, 0), (9, 0), (1, 0), (3, 0), (7, 0), (10, 0), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (6, 1), (6, 0), (2, 0), (4, 0)|(0, 0), (1, 0), (3, 0), (2, 0), (4, 0)
2015-10-12__12_10_40|166|allPlayers11_125__DS27|4|3|895|1071|3|4|(0, 0), (0, 3), (0, 1), (2, 1), (1, 0), (2, 3), (3, 0), (0, 2), (1, 3), (3, 3), (2, 0)|(0, 0), (0, 3), (0, 1), (1, 2), (1, 0), (0, 2), (1, 3), (1, 1)|(0, 0), (0, 3), (0, 1), (1, 2), (0, 2)|(0, 0), (5, 0), (9, 0), (1, 0), (3, 0), (7, 0), (10, 0), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (2, 1), (1, 0), (3, 0), (6, 0), (2, 0), (4, 0)|(0, 0), (2, 1), (1, 0), (3, 0), (2, 0)
2015-10-12__12_10_40|383|allPlayers11_125__DS29|4|6|879|943|6|4|(0, 0), (0, 3), (0, 1), (2, 1), (1, 0), (2, 3), (3, 0), (0, 2), (1, 3), (3, 3), (2, 0)|(0, 0), (0, 5), (1, 6), (0, 3), (0, 1), (0, 4), (0, 6), (0, 2)|(0, 0), (0, 3), (0, 1), (1, 0), (0, 2)|(0, 0), (0, 5), (0, 10), (0, 7), (0, 8), (0, 3), (0, 1), (0, 4), (0, 6), (0, 9), (0, 2)|(0, 0), (0, 5), (0, 3), (0, 1), (1, 0), (0, 4), (0, 6), (0, 2)|(0, 0), (0, 1), (1, 2), (0, 2), (1, 3)
2015-10-12__12_10_40|733|allPlayers11_125__DS35|5|3|965|1278|3|5|(0, 0), (3, 4), (4, 5), (0, 1), (1, 2), (2, 3), (5, 5), (3, 3), (4, 4), (2, 2), (1, 1)|(0, 0), (0, 1), (2, 1), (1, 2), (1, 0), (3, 0), (1, 1), (2, 0)|(0, 0), (0, 1), (1, 0), (1, 1), (2, 0)|(0, 0), (5, 0), (9, 0), (1, 0), (3, 0), (7, 0), (10, 0), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (7, 0), (6, 0), (2, 0), (4, 0)|(0, 0), (1, 0), (3, 0), (2, 0), (4, 0)
2015-10-12__12_10_40|1766|allPlayers11_125__DS45|6|5|1315|853|6|5|(0, 0), (0, 5), (0, 10), (0, 7), (0, 8), (0, 3), (0, 1), (0, 4), (0, 6), (0, 9), (0, 2)|(0, 0), (0, 5), (0, 7), (0, 3), (0, 1), (0, 4), (0, 6), (0, 2)|(0, 0), (0, 1), (1, 0), (0, 2), (1, 1)|(0, 0), (3, 4), (4, 5), (0, 1), (1, 2), (2, 3), (5, 5), (3, 3), (4, 4), (2, 2), (1, 1)|(0, 0), (0, 1), (2, 1), (1, 2), (1, 0), (3, 0), (1, 1), (2, 0)|(0, 0), (0, 1), (1, 0), (1, 1), (2, 0)
2015-10-12__12_10_40|368|allPlayers11_125__DS46|6|7|996|1026|7|6|(0, 0), (0, 5), (5, 0), (0, 3), (0, 1), (1, 0), (3, 0), (0, 4), (0, 2), (2, 0), (4, 0)|(0, 0), (0, 3), (0, 1), (1, 2), (2, 1), (1, 0), (0, 2), (1, 1)|(0, 0), (0, 3), (0, 1), (0, 2), (1, 1)|(0, 0), (5, 0), (9, 0), (1, 0), (3, 0), (7, 0), (9, 1), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (7, 0), (6, 0), (2, 0), (4, 0)|(0, 0), (0, 1), (1, 0), (3, 0), (2, 0)
2015-10-12__12_10_40|17|allPlayers11_125__DS50|7|2|1114|974|7|2|(0, 0), (5, 0), (9, 0), (1, 0), (3, 0), (7, 0), (9, 1), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (6, 1), (6, 0), (2, 0), (4, 0)|(0, 0), (1, 0), (3, 0), (2, 0), (1, 1)|(0, 5), (1, 4), (5, 0), (3, 2), (4, 1), (2, 3), (1, 5), (4, 2), (3, 3), (2, 4), (5, 1)|(0, 0), (3, 4), (0, 1), (1, 2), (2, 3), (3, 3), (2, 2), (1, 1)|(0, 0), (1, 0), (3, 0), (3, 1), (2, 0)
2015-10-12__12_10_41|14|allPlayers11_125__DS55|7|8|1074|935|7|8|(0, 0), (5, 0), (9, 0), (1, 0), (3, 0), (7, 0), (10, 0), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (6, 1), (6, 0), (2, 0), (4, 0)|(0, 0), (1, 0), (3, 0), (3, 1), (2, 0)|(0, 0), (1, 4), (0, 3), (1, 2), (2, 1), (1, 0), (2, 3), (0, 4), (1, 3), (2, 2), (1, 1)|(0, 0), (0, 5), (1, 6), (0, 3), (0, 1), (0, 4), (0, 6), (0, 2)|(0, 0), (0, 1), (1, 2), (1, 0), (0, 2)
